,工作名称,工作城市,工作地点,工作公司,工作薪资,最大薪资(K),最小薪资(K),平均工资(K),工作学历,工作标签,工作经验,招聘详情页链接
1295,AI平台后端开发工程师,天津,天津·东丽区·华明,上海汇审科技服务中心,17-30K,30,17,23.5,本科,通信/网络设备,1-3年,https://www.zhipin.com/gongsi/38dfcdc0dea0ba0f1nJ939y7GFo~.html
1296,Python研发工程师,天津,天津·西青区·侯台,南大通用,13-20K,20,13,16.5,本科,计算机软件,1-3年,https://www.zhipin.com/gongsi/94028be4e7366b3d1nN_0t-0.html
1297,Python工程师,天津,天津·南开区·白堤路,兴先道,11-20K·14薪,20,11,15.5,本科,信息安全,5-10年,https://www.zhipin.com/gongsi/1eb9b0017223370d1HF-2dm6FA~~.html
1298,脚本开发工程师,天津,天津·西青区·侯台,安华金和,8-12K·13薪,12,8,10.0,大专,信息安全,1-3年,https://www.zhipin.com/gongsi/10c95539dea5934d1HBy2dw~.html
1299,linux软件开发工程师,天津,天津,宜科,11-17K·13薪,17,11,14.0,本科,智能硬件,3-5年,https://www.zhipin.com/gongsi/99f9856efcaba14f1XR53ti_Eg~~.html
1300,Python老师,天津,天津·河西区·梅江,动力猫,4-9K,9,4,6.5,本科,培训机构,1-3年,https://www.zhipin.com/gongsi/5355bd1198a49ee503B_3tu8GA~~.html
1301,Python讲师,天津,天津·和平区·滨江道,天津悦乐学教育科技,7-8K,8,7,7.5,本科,培训机构,1年以内,https://www.zhipin.com/gongsi/7c65a87422f76fe403J42t2-FA~~.html
1302,python工程师,天津,天津·西青区·张家窝,九米九视光,10-15K·13薪,15,10,12.5,本科,医疗设备/器械,1-3年,https://www.zhipin.com/gongsi/a5530374d6acc0d03nVy29y_Ew~~.html
1303,RPA实施工程师,天津,天津·东丽区·军粮城,数字天堂,9-14K,14,9,11.5,本科,移动互联网,1-3年,https://www.zhipin.com/gongsi/dd656d5507f6f3f41nV_2d6-GQ~~.html
1304,Python开发工程师,天津,天津·东丽区·华明,鑫裕,6-10K·13薪,10,6,8.0,不限,工程施工,1-3年,https://www.zhipin.com/gongsi/32d3bbb3f999d93c1nxz0t61EVM~.html
1305,Python研发工程师（生物背景）,天津,天津·武清区·北郑,金匙基因,10-15K·13薪,15,10,12.5,本科,医疗/护理/卫生,3-5年,https://www.zhipin.com/gongsi/90797b799933368a0nZ539u5Fg~~.html
1306,招聘兼职Python Java工程师,天津,天津·河北区·民权门,成天才,2-7K,7,2,4.5,本科,财务/审计/税务,1-3年,https://www.zhipin.com/gongsi/e5d5f88d5bdc9be90nB-39S_GA~~.html
1307,Python开发工程师-天津,天津,天津·南开区·华苑,爱笔北京,11-20K·15薪,20,11,15.5,本科,新零售,1-3年,https://www.zhipin.com/gongsi/f7872085745c4db71nx43N29FVI~.html
1308,python/Java/c++编程老师,天津,天津·南开区·鼓楼,童程童美儿童教育,6-11K,11,6,8.5,本科,在线教育,经验不限,https://www.zhipin.com/gongsi/636b4f6fe2ab63131nd429-0Fw~~.html
1309,python开发,天津,天津·东丽区·军粮城,富士康,6-11K·13薪,11,6,8.5,本科,互联网,1-3年,https://www.zhipin.com/gongsi/9c231fb2be25afd133B82Nw~.html
1310,python,天津,天津·红桥区·水游城,拓尔思,5-10K,10,5,7.5,大专,互联网,经验不限,https://www.zhipin.com/gongsi/867dad38d96404220nJy2w~~.html
