title,bvid,link,up,play,bulletchat,reply,like,coin,favorite,share,labels,length
树：讲真的，我已经不在乎那条虫子了！,BV1794y1G7Y5,https://b23.tv/BV1794y1G7Y5,幸运猎手,13744989,11014,11326,817885,74574,217273,69460,"['HandClap', '动物观察局', '动物圈', '动物二创', '动物世界', '自然', '动物', '野生动物', '啄木鸟', '踩点', '动物观察局24.0 小动物变装派对！']",132
【罗翔】看我被“白头”，很多亲友发来慰问，还有对错真假吗？,BV1QN4y1U7u2,https://b23.tv/BV1QN4y1U7u2,罗翔说刑法,6867150,14452,6707,402639,85771,37499,12617,"['知识', '社科·法律·心理', '罗翔', '侵权', '道德', '真假', '肖像权', '理想主义', '白头']",439
复刻全球最受欢迎炸鸡，每年卖出上亿份，到底有多好吃？,BV1aM411D7g5,https://b23.tv/BV1aM411D7g5,大碗拿铁,4843936,6033,2039,268961,73717,72657,12367,"['初冬时节·美食治愈季', '美食', '美食制作', '炸鸡', '4K', '美国', '美食', '搞笑', '纳什维尔炸鸡', '辣鸡', '大碗拿铁']",540
《崩坏：星穹铁道》藿藿角色PV——「回魂夜」,BV1mj411E7eB,https://b23.tv/BV1mj411E7eB,崩坏星穹铁道,4122693,10659,10965,267258,95425,64153,57020,"['游戏', '手机游戏', '崩坏：星穹铁道', 'PV', '崩坏星穹铁道', '藿藿', '桂乃芬', '角色PV', '米哈游', 'miHoYo']",127
带你去山西看穿越千年的日出，vivo X100系列挑战长长长长长焦拍太阳,BV1Eu411F7qQ,https://b23.tv/BV1Eu411F7qQ,vivo,6249133,2061,1643,119870,8109,11827,4981,"['科技', '数码', '手机', '历史', '摄影', '手机摄影', '旅行', '风光', '长焦', '日出', '山西', '挑战']",225
能给人急死,BV1nj411a7Cz,https://b23.tv/BV1nj411a7Cz,高斯Goh,4218696,14173,2801,251189,88500,56899,3293,"['桌游棋牌创作挑战', '游戏', '桌游棋牌', '搞笑', '娱乐', '生活', '日常', '逗比', '动物方程式', '沙雕', '整活', '小潮team', '桌游棋牌创作营第十一期（斗地主）']",639
当名台词有了回应2,BV1yC4y1U7HM,https://b23.tv/BV1yC4y1U7HM,变相怪杰Mask,4629168,6212,2778,286932,102174,90132,47660,"['Diamond Cut Diamond', '影视', '影视剪辑', '新三国', '关羽', '三国演义', '鬼畜', '影视剪辑', '搞笑', '电视剧', '台词', '名场面', '台词向']",368
aespa《Drama》MV,BV1Se411X7d4,https://b23.tv/BV1Se411X7d4,SMTOWN,3646456,21176,22592,155969,70538,69031,59100,"['Drama', '始于MY和aespa的Drama', '音乐', 'MV', 'aespa', 'KPOP人集合企划4.0']",227
「正经向」宅男们一起跳了！💢肃清！萝莉神安魂曲💢,BV1iw411N78K,https://b23.tv/BV1iw411N78K,宅男街舞队_RAB,2733348,3679,4799,333747,115473,90418,56978,"['粛聖!! ロリ神レクイエム☆', '秋日宅舞随拍记录', '舞蹈', '宅舞', '宅舞', '街舞', '舞蹈', '二次元', 'RAB', '踊ってみた', '宅男', '元气', '才艺', '秋日舞蹈激励计划']",294
《甄嬛传》之 甄嬛的一生 (上),BV16j411h7bN,https://b23.tv/BV16j411h7bN,惊奇动物园oopspark,3636213,2893,2124,358026,80971,114106,52439,"['动画区整活打卡', '动画', '短片·手书', '原创动画', '华妃', '惊鸿舞', '谷雨美白奶罐', '甄嬛传二创', '谷雨', '安陵容', '甄嬛', '倚梅园']",303
这一刻水神无愧于正义之名，芙宁娜比肩神明！【原神 / 𝗖𝗮𝗹𝗹 𝗼𝗳 𝗦𝗶𝗹𝗲𝗻𝗰𝗲】,BV14u4y187Rg,https://b23.tv/BV14u4y187Rg,伊零Onezero,2994263,3874,3927,393194,125628,176039,27671,"['Call of Silence', '原神UP主激励计划', '游戏', 'GMV', 'GMV', '原神', '手机游戏', 'CG混剪', '原神4.2', '芙宁娜', '米哈游', 'Call Of Silence', '芙卡洛斯']",161
只有一笔钱，3岁宝宝会花给妈妈还是爸爸？,BV1tz4y1P7rv,https://b23.tv/BV1tz4y1P7rv,啊吗粽,1617242,2299,867,84448,14491,6411,3558,"['双11省学指南', '生活', '搞笑', '萌娃', '搞笑', '可爱', '生活', '拿姐', '天猫双11省学', '亲子', '小粽子', '啊吗粽']",549
[4K]来了终於来了!Red Velvet的Killing Voice现场一次听!!,BV19C4y127H6,https://b23.tv/BV19C4y127H6,Dingo_official,1606487,21848,8681,121865,98194,78105,32770,"['행복(Happiness)', '一起来看live', '音乐', '音乐现场', '4K', 'LIVE', '裴珠泫', 'Red Velvet', '新歌', '金藝琳', '姜澀琪', '孫承完', '樸秀榮', '一起来看live2023终结篇']",2032
就算要被吃掉，也要保持微笑！,BV1bw411T7VY,https://b23.tv/BV1bw411T7VY,绵羊料理,3168656,6249,2356,227673,64887,21889,6734,"['初冬时节·美食治愈季', '美食', '美食侦探', '探店', '吃货', '美食', '搞笑', '吃播', '北京', '生活记录', 'Vlog']",568
水的女儿，自由快乐的一天！,BV1Au411F75L,https://b23.tv/BV1Au411F75L,KKOMDA,2236028,1919,2823,238919,83004,97503,8935,"['原神UP主激励计划', '动画', '短片·手书', '手书', '林尼', '琳妮特', '芙宁娜', '菲米尼', '克洛琳德', '夏洛蒂', '那维莱特']",127
9.7分封神！漫威15年最强剧诞生！洛基“故事之神”最强形态！这一集我实名吹爆,BV1mz4y1P7xY,https://b23.tv/BV1mz4y1P7xY,努力的Lorre,2965690,7416,4544,150188,33030,32461,9742,"['分集讲透影视经典', '影视', '影视杂谈', '最强安利王3.0']",976
二手玫瑰《仙儿》| 2023再见夏天工体演唱会,BV1Lu4y1b73i,https://b23.tv/BV1Lu4y1b73i,二手玫瑰乐队,3625671,2343,3128,370323,38180,36926,13672,"['仙儿', '一起来看live', '音乐', '音乐现场', '华语现场', '音乐现场', '演唱会', 'LIVE', '乐夏', '二手玫瑰', '现场', '工体', '乐队的夏天', '一起来看live2023终结篇']",232
再见啦！谢谢你陪伴我15年...,BV1XQ4y187cz,https://b23.tv/BV1XQ4y187cz,kei和marin,2166734,810,1310,47493,8835,3171,495,"['VVV', '今天也在好好生活', '生活', '日常', '情侣', '日语', '整蛊', '中日情侣', '整活', '生活万花筒8.0 看见生活B面']",401
【英雄联盟】世界赛后遗症大赏,BV1Qa4y1S7jr,https://b23.tv/BV1Qa4y1S7jr,英雄联盟,1681623,262,643,33799,1143,1722,655,"['Bartholdy - Auf Flugeln Des Gesanges', '英雄联盟S13', '游戏', '电子竞技', '英雄联盟', 'LOL', '2023全球总决赛']",150
天玑9300实测：vivo X100性能如何？,BV14C4y1E7Hv,https://b23.tv/BV14C4y1E7Hv,极客湾Geekerwan,2386354,10439,9836,101933,22206,8633,20373,"['vivo X100系列发布！', '科技', '数码', '手机评测', '天玑9300', 'X100', '联发科', '发哥', 'MTK', 'vivo']",591
真的只是某一瞬间.....,BV1uw411x7rS,https://b23.tv/BV1uw411x7rS,熬一耶ye,4235637,1373,5114,319298,6691,20971,22763,"['搞笑新星训练营', '生活', '搞笑', '颜值', '帅哥', '高富帅', '搞笑研究所2023 7.0 万圣节来搞怪']",70
这让人怎么下嘴啊？,BV1Hj411h7St,https://b23.tv/BV1Hj411h7St,Tiger西西,9203631,4284,2119,468144,12928,27510,8722,"['美食', '美食制作', '汉堡', '一人食', '厨艺', '吃货', '搞笑', '美食vlog', '美食圈', '芝士', '沉浸式']",86
四大名著还是太保守了，唐僧林黛玉同步率⚡️200%⚡️,BV1Yw411W77P,https://b23.tv/BV1Yw411W77P,特效小哥studio,3623027,5697,1604,176607,41383,22687,10983,"['外星降临活着就行', '鬼畜', '鬼畜剧场', '林黛玉', '4K', '高能', '唐僧', '恶搞', '机甲', '四大名著', '星球重启', '特效短片', '“外星降临活着就行”星球重启创作激励计划']",462
一周的第一天，怎么能少得了看一集脱缰凯呢,BV1qQ4y187Fj,https://b23.tv/BV1qQ4y187Fj,脱缰凯Kk,4345109,2725,1329,289676,15263,32569,1727,"['CODM四周年', '影视', '小剧场', '使命召唤手游', '搞笑', '校园', 'GAI至高使命']",248
背带宇宙之蒙面鸡人！！！,BV1Qu4y1N7xb,https://b23.tv/BV1Qu4y1N7xb,限时理想-背带侠,4594073,2316,1708,305231,93345,96891,28637,"['仮面ゼロワン&ゼロツー', 'B站小剧场', '影视', '小剧场', '铠甲勇士', '假面骑士', '特摄', '搞笑', '小黑子', '坤坤', 'ikun', '铠甲合体', 'B站小剧场6.0']",219
总决赛 我来咯【Shy场时刻08】,BV1HN4y1U78c,https://b23.tv/BV1HN4y1U78c,TheShy,1454959,5258,4221,120180,44420,10207,3910,"['英雄联盟S13', '游戏', '电子竞技', 'LPL', '游戏集锦', '英雄联盟', '电子竞技', '世界赛', '精彩集锦', 'TheShy', 'MOBA', '总决赛']",480
降温了，是时候重温一遍了,BV18w411T7JV,https://b23.tv/BV18w411T7JV,哭天喊地六仙女,3524132,3348,3181,276108,24410,28697,55442,"['搞笑新星训练营', '生活', '搞笑', '请回答1988', '记录', '憋笑挑战', '搞笑研究所2023 7.0 万圣节来搞怪']",126
轻舟已过 万重山,BV1xH4y1B7YX,https://b23.tv/BV1xH4y1B7YX,黄正极,5868210,3413,675,268376,25847,159581,2421,"['左手指月', '我的绘画高光时刻', '生活', '绘画', '绘画', '美术', '艺术', '山水', '国画', '万重山', '一起来画画吧！寻找创意大神']",91
大师撤回了一次行骗🙏,BV1vc411X7Lc,https://b23.tv/BV1vc411X7Lc,-显眼宝-,5547982,1499,1862,605342,16206,28640,9744,"['搞笑小剧场开演了', '影视', '小剧场', '原创', '显眼宝', '社恐', '反转搞笑', 'B站小剧场6.0']",85
芙宁娜：谁教你这样卖东西的？,BV1E94y137u7,https://b23.tv/BV1E94y137u7,漾少侠,2240209,964,1494,313950,14292,55235,12996,"['当', '原神UP主激励计划', '动画', 'MMD·3D', 'MMD', '原神', '搞笑', '原神枫丹', '芙宁娜', '荧']",65
在毛毯上薅出艾伦,BV1X94y137YV,https://b23.tv/BV1X94y137YV,咖喱芋圆儿花开富贵儿,1921422,1266,1830,345769,132916,64295,12359,"['Call your name', '生活', '绘画', '手绘', '绘画', '绘画过程', '进击的巨人', '艾伦耶格尔', '艾伦']",98
雍正年妃·补遗：年妃去世后，又有哪些事？【雍正王朝】,BV1xM411S73Z,https://b23.tv/BV1xM411S73Z,正直讲史-李正Str,824437,3690,1910,54348,28221,5975,743,"['知识研究所', '知识', '人文历史', '华妃', '甄嬛传', '雍正王朝', '清朝', '雍正', '年世兰', '年妃', '敦肃皇贵妃']",861
野生的傻狍子把幼崽生到人类的菜地里然后它忘了,BV1Dc411X76c,https://b23.tv/BV1Dc411X76c,林中小呜,2501492,7803,5532,184938,49425,23010,12678,"['动物圈', '野生动物', '可爱', '自然', '野生动物']",297
蓝朋友找上门来，那就切磋切磋,BV1sz4y1P7h1,https://b23.tv/BV1sz4y1P7h1,凌云仗剑走天涯,1628269,1406,803,44521,17341,15827,1502,"['有亿点功夫', '运动', '运动综合', '武术', '全国消防宣传月', '火焰蓝守护行动', '全国消防日', '有亿点功夫第3期']",155
这是个音乐游戏！！2023版,BV1ze411X7MN,https://b23.tv/BV1ze411X7MN,哦呼w,2447180,1825,2012,280451,170533,64626,13954,"['英雄联盟S13', '鬼畜', '鬼畜调教', '传说之下', '鬼畜调教', '鬼畜', '音游', '英雄联盟', 'MEGALOVANIA', 'undertale', '喵斯快跑']",190
【T1分析】T1也有弱点？如何破解T1推线体系？,BV16v411F7q2,https://b23.tv/BV16v411F7q2,徐桑,1373810,3170,5376,70297,32125,5693,2585,"['星茶会', '英雄联盟S13', '游戏', '电子竞技', 'SKT', 'LCK', 'LPL', '英雄联盟', 'T1', 'MOBA', 'Faker', 'Theshy', 'WBG']",634
终有up出教程了！猫猫同款水母头麻花辫教程来啦～显发量显脸小！Haerin姜海粼同款发型～,BV1yG411Q78t,https://b23.tv/BV1yG411Q78t,来一小碗Www,342700,30,161,40996,3197,50131,2239,"['我的100个流行新妆', '时尚', '美妆护肤', '发型教程', 'kpop', 'Haerin', 'newjeans', '麻花辫', '创作灵感', '水母头', '爱豆同款发型']",66
【动画】为什么所有人都比我好？,BV1Gy4y1c71y,https://b23.tv/BV1Gy4y1c71y,SKYE魏,6205302,4769,11052,1163092,569881,629100,73873,"['动画', '短片·手书', '手书', '动画短片', '原创动画', '动画']",210
黑胡子Captain：You 凉席 is my 安妮女王复仇号,BV1h84y1Q7Ws,https://b23.tv/BV1h84y1Q7Ws,天亮手工,4881233,7352,3529,504976,373641,96561,23066,"[""He's a Pirate"", '我的手工真的很解压', '生活', '手工', '加勒比海盗', '技术宅', '手工', '黑胡子', '生活记录', '原创', '凉席', '船模', '一起做手工吧！10.0 国风手作纪']",376
歌迷朋友们好，我又出歌了,BV1z94y1V7PE,https://b23.tv/BV1z94y1V7PE,papi酱,5327753,7813,9527,606798,392092,85711,71976,"['You 1ove 1t', '搞笑研究所', '生活', '搞笑', '搞笑', '音乐', '搞笑研究所2023 7.0 万圣节来搞怪']",222
